epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6638,3.13363,14.7191,2.65297,0.51097,0.21403,0.21775,0.15021,2.73945,2.58317,2.37447,0.000182392,0.000182392,0.000182392
2,112.072,3.08363,2.79368,2.55511,0.85603,0.25186,0.28574,0.19347,2.79316,2.39754,2.34313,0.000366511,0.000366511,0.000366511
3,156.809,3.05459,2.27444,2.50922,0.60339,0.21243,0.19438,0.11594,3.07165,3.29113,2.60266,0.000549408,0.000549408,0.000549408
4,201.357,3.07201,2.08103,2.53508,0.71628,0.15152,0.1898,0.11193,3.34418,4.06117,2.71036,0.000550496,0.000550496,0.000550496
5,245.98,3.05304,2.01714,2.51154,0.69811,0.54223,0.55528,0.40008,2.6472,1.96684,2.36652,0.000548661,0.000548661,0.000548661
6,290.54,3.00497,1.9219,2.48729,0.436,0.79323,0.70281,0.53295,2.7476,2.2877,2.39388,0.000546826,0.000546826,0.000546826
7,335.302,2.98829,1.85709,2.47503,0.72415,0.4212,0.66998,0.47585,2.73134,2.02095,2.31302,0.000544991,0.000544991,0.000544991
8,379.829,2.96388,1.83731,2.44922,0.73548,0.53418,0.68117,0.46926,2.56992,2.15214,2.24769,0.000543156,0.000543156,0.000543156
9,424.469,2.94728,1.72283,2.47704,0.75323,0.30556,0.45637,0.30582,3.07614,2.1924,2.55032,0.000541322,0.000541322,0.000541322
10,469.019,2.90884,1.69848,2.44851,0.72257,0.51108,0.51126,0.35142,2.66503,1.72887,2.2751,0.000539487,0.000539487,0.000539487
11,513.653,2.88748,1.69412,2.44378,0.37004,0.52589,0.52506,0.39299,2.50239,2.05976,2.22518,0.000537652,0.000537652,0.000537652
12,558.226,2.8622,1.64929,2.43604,0.76086,0.54129,0.61558,0.43044,2.5994,1.80736,2.22251,0.000535817,0.000535817,0.000535817
13,602.837,2.8633,1.62125,2.45528,0.64405,0.69214,0.70785,0.47777,2.61781,1.85173,2.32128,0.000533982,0.000533982,0.000533982
14,647.378,2.84175,1.60289,2.43371,0.59213,0.60961,0.77461,0.56328,2.33571,1.54459,2.18576,0.000532148,0.000532148,0.000532148
15,692.031,2.84305,1.57786,2.4388,0.78441,0.6759,0.72152,0.5182,2.41762,1.59432,2.22173,0.000530313,0.000530313,0.000530313
16,736.737,2.84729,1.54727,2.42603,0.60995,0.41903,0.63184,0.48387,2.41217,1.70389,2.18395,0.000528478,0.000528478,0.000528478
17,781.375,2.79768,1.53325,2.41262,0.57127,0.47368,0.49426,0.36088,2.34562,1.60693,2.14251,0.000526643,0.000526643,0.000526643
18,825.954,2.82693,1.5295,2.4174,0.94538,0.49708,0.5436,0.39773,2.78989,2.03359,2.36137,0.000524808,0.000524808,0.000524808
19,870.551,2.75108,1.48061,2.39897,0.76311,0.73607,0.66313,0.50749,2.54899,1.54153,2.19277,0.000522974,0.000522974,0.000522974
20,915.085,2.77354,1.47315,2.39246,0.80844,0.58324,0.73635,0.51786,2.58092,1.49181,2.2095,0.000521139,0.000521139,0.000521139
21,959.792,2.74332,1.46179,2.36767,0.72045,0.65922,0.75069,0.5894,2.36099,1.49229,2.15053,0.000519304,0.000519304,0.000519304
22,1004.37,2.75515,1.43646,2.40206,0.80339,0.65473,0.7789,0.54921,2.34391,1.44779,2.12978,0.000517469,0.000517469,0.000517469
